SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,40,2,0,0,22,0,11,0,9
1,0,36,3,0,0,15,3,1,1,9
1,0,34,0,0,0,11,0,1,0,9
1,0,45,0,0,0,23,0,5,0,4
1,0,28,0,0,0,17,0,3,0,4
1,0,44,1,0,0,15,0,3,0,14
1,0,40,0,0,0,22,0,3,0,9
1,0,42,1,0,0,10,0,3,0,4
1,0,31,0,0,0,10,0,1,0,4
1,0,46,0,0,0,18,0,1,0,0
1,0,22,0,0,0,5,0,0,1,0
1,0,39,0,0,0,11,2,0,2,4
1,0,34,0,0,0,22,0,0,0,9
1,0,57,0,1,0,32,0,3,0,0
1,0,34,0,0,0,8,0,0,0,9
1,0,55,1,0,0,18,0,0,1,4
1,0,52,7,0,0,20,0,0,0,0
1,0,41,1,0,0,8,0,0,0,0
1,0,42,0,0,0,18,0,1,0,14
1,0,39,0,0,0,10,0,1,0,4
1,0,61,1,0,0,46,0,5,0,0
1,0,43,2,0,0,8,1,3,2,0
1,0,57,1,0,0,20,0,0,0,4
1,0,52,1,0,0,8,1,0,0,0
1,0,44,2,0,0,34,0,3,0,9
1,0,55,10,0,0,18,2,5,5,4
1,0,29,0,0,0,1,0,0,0,14
1,0,38,0,0,0,13,0,0,0,0
1,0,49,0,0,0,3,0,0,1,0
1,0,33,2,0,0,27,0,5,0,4
1,0,45,1,0,0,13,0,1,1,4
1,0,35,0,0,0,15,0,0,0,9
1,0,47,1,0,0,18,0,5,0,4
1,0,80,1,0,0,15,3,0,1,0
1,0,55,0,0,0,34,0,3,0,0
1,0,46,0,0,0,20,0,1,2,4
1,0,33,0,0,0,27,0,3,0,14
1,0,46,3,0,0,22,0,3,1,19
1,0,32,0,0,0,15,0,5,0,0
1,0,29,0,0,0,5,2,0,0,0
1,0,32,2,0,0,6,0,0,0,4
1,4,52,0,0,0,13,1,1,0,4
1,0,35,5,0,0,23,0,3,0,9
1,0,52,0,0,0,22,1,3,0,0
1,0,29,0,0,0,8,0,1,0,9
1,0,52,3,0,0,34,0,0,1,0
1,0,23,0,0,0,1,2,0,1,0
1,0,45,0,0,0,13,0,1,1,0
1,0,39,0,1,0,15,0,5,0,0
1,0,42,0,0,0,3,2,0,0,0
1,0,73,0,0,0,18,0,3,0,0
1,0,66,1,0,0,3,3,0,1,0
1,0,35,0,0,0,25,0,1,0,4
1,0,49,2,0,0,29,0,3,0,4
1,0,43,3,0,0,17,0,3,0,4
1,0,36,0,0,0,8,0,0,0,4
1,0,34,2,1,0,32,0,5,0,9
1,0,42,0,0,0,17,1,1,0,0
1,0,31,0,0,0,29,0,7,0,9
1,0,30,1,0,0,10,0,1,0,9
1,0,53,6,0,0,27,2,1,2,4
1,0,37,0,0,0,6,0,1,0,9
1,0,37,0,0,0,1,2,0,1,0
1,0,49,5,0,0,11,1,0,3,0
1,0,51,2,0,0,49,0,1,1,4
1,0,40,3,0,0,13,2,1,2,0
1,0,64,1,0,0,3,0,1,1,0
1,0,24,0,0,0,3,0,0,1,4
1,0,32,0,0,0,11,0,0,0,9
1,0,54,1,0,0,3,0,1,1,0
1,0,40,0,0,0,6,0,1,1,9
1,0,67,3,0,0,6,1,0,1,0
1,0,28,0,0,0,5,0,0,0,0
1,0,31,0,0,0,3,0,1,1,9
1,0,53,1,0,0,39,0,7,0,0
1,0,30,0,0,0,8,1,1,1,9
1,0,27,0,0,0,3,0,0,0,4
1,0,38,0,0,0,29,0,3,0,9
1,0,53,0,0,0,20,0,3,0,0
1,0,23,0,0,0,8,0,0,0,0
1,0,62,1,0,0,25,0,3,0,0
1,0,34,0,0,0,15,0,1,0,9
1,0,60,0,0,0,34,0,5,0,4
1,0,37,1,0,0,6,1,3,1,4
1,0,49,0,0,0,35,0,11,0,14
1,0,49,3,0,0,17,0,1,1,4
1,0,38,0,0,0,0,2,0,0,0
1,0,38,0,0,0,6,0,0,0,4
1,0,31,1,0,0,10,0,3,0,0
1,0,24,0,0,0,15,0,0,0,0
1,0,40,0,0,0,18,0,7,0,4
1,0,45,1,0,0,3,0,1,0,0
1,0,47,0,0,0,3,4,0,1,4
1,0,34,1,0,0,8,3,1,3,0
1,0,24,98,0,0,0,98,0,98,0
1,0,49,1,0,0,11,0,3,1,4
1,0,22,1,0,0,10,0,0,0,0
1,0,63,1,0,0,5,0,1,1,0
1,0,42,1,0,0,8,4,0,0,4
1,0,55,3,0,0,11,3,3,0,0
1,0,35,0,0,0,3,1,0,0,14
1,0,71,0,0,0,0,0,0,0,0
1,0,58,1,0,0,10,0,1,0,9
1,0,39,1,0,0,6,0,0,0,4
1,0,49,0,0,0,1,2,0,1,0
1,0,39,0,0,0,17,0,1,0,0
1,0,44,1,0,0,15,0,1,1,0
1,0,41,0,0,0,3,0,0,0,0
1,0,37,0,0,0,8,1,1,0,4
1,0,27,0,0,0,5,0,0,0,4
1,0,42,4,0,0,11,0,1,0,9
1,0,39,2,0,0,10,2,0,2,4
1,0,32,0,0,0,3,0,3,0,0
1,0,36,2,0,0,8,3,1,1,9
1,0,20,0,0,0,13,0,0,0,0
1,2,39,2,0,0,22,0,7,0,9
1,0,41,0,0,0,6,1,1,0,34
1,0,49,2,0,0,8,2,0,1,0
1,0,43,1,0,0,1,0,0,0,0
1,0,33,6,0,0,13,2,1,1,4
1,0,49,2,0,0,10,1,3,0,0
1,0,52,3,0,0,8,1,3,0,0
1,0,49,0,0,0,10,0,0,0,4
1,0,49,1,0,0,18,0,1,1,0
1,0,67,2,0,0,10,0,0,0,0
1,0,47,3,0,0,22,1,1,0,4
1,0,31,3,0,0,8,2,0,1,4
1,0,46,4,0,0,25,0,1,0,9
1,0,44,1,1,0,27,0,3,0,0
1,0,49,0,0,0,17,0,3,0,0
1,0,39,2,0,0,18,0,0,1,4
1,0,24,0,0,0,5,0,0,1,0
1,0,49,1,0,0,20,0,1,1,9
1,0,23,0,0,0,6,0,0,0,4
1,0,39,1,0,0,10,0,0,1,0
1,0,41,0,0,0,10,0,0,0,0
1,0,43,4,0,0,8,1,5,1,0
1,0,29,0,0,0,11,0,3,0,0
1,0,24,0,0,0,11,0,0,0,0
1,0,57,1,0,0,5,0,0,1,0
1,0,35,1,0,0,5,0,0,0,0
1,0,36,0,0,0,1,3,0,0,9
1,0,46,2,0,0,15,0,0,1,0
1,0,41,1,0,0,8,3,0,2,0
1,0,45,3,0,0,10,0,3,1,4
1,0,36,1,0,0,8,3,3,0,4
1,0,43,0,0,0,49,0,31,0,9
1,0,48,2,0,0,15,1,0,1,0
1,0,32,0,0,0,5,1,1,1,0
1,0,25,1,0,0,15,0,0,0,0
1,0,59,0,0,0,5,4,0,0,0
1,0,43,0,0,0,6,2,0,1,0
1,0,32,2,1,0,8,0,3,2,0
1,0,21,0,0,0,5,1,0,0,0
1,0,36,4,0,0,11,0,0,0,9
1,0,56,1,0,0,8,0,1,1,4
1,0,27,1,0,0,5,10,0,0,0
1,0,27,0,0,0,18,0,5,0,0
1,0,41,0,0,0,0,0,0,0,24
1,0,29,0,0,0,0,0,0,1,0
1,0,40,3,0,0,23,0,7,1,4
1,0,49,0,0,0,17,0,5,0,4
1,0,40,3,0,0,17,0,0,0,9
1,0,25,1,0,0,5,0,1,0,0
1,0,25,0,0,0,15,5,0,0,0
1,0,24,0,0,0,3,0,0,0,4
1,0,39,0,0,0,6,0,1,3,4
1,0,40,0,0,0,10,0,0,0,0
1,0,24,1,0,0,17,0,0,0,9
1,0,38,0,0,0,3,1,0,1,9
1,0,41,3,0,0,20,1,3,1,4
1,0,26,0,0,0,5,1,0,0,0
1,0,49,2,0,0,40,0,11,0,19
1,0,30,0,0,0,11,0,1,0,0
1,0,27,2,0,0,17,0,1,0,9
1,0,37,0,0,0,5,2,3,0,0
1,0,28,0,0,0,13,0,1,0,4
1,0,39,0,0,0,35,0,0,0,14
1,0,44,0,0,0,3,3,1,2,4
1,0,47,3,0,0,11,0,1,0,9
1,0,54,1,0,0,11,0,3,1,0
1,0,48,0,0,0,37,0,1,1,9
1,0,40,5,0,0,17,0,1,0,9
1,0,41,0,0,0,13,0,3,0,0
1,0,64,0,0,0,25,0,3,0,9
1,0,28,0,0,0,18,0,1,0,4
1,0,57,0,0,0,6,0,1,0,0
1,0,63,0,0,0,1,0,0,0,0
1,0,41,3,0,0,20,0,5,4,14
1,0,58,0,0,0,3,1,0,0,0
1,0,35,3,0,0,25,1,0,1,9
1,0,48,0,0,0,6,1,0,1,0
1,0,48,0,0,0,0,0,0,0,0
1,0,40,0,0,0,10,6,0,1,9
1,0,32,1,0,0,17,1,0,3,14
1,0,72,2,0,0,15,2,0,0,0
1,0,27,1,0,0,5,1,0,0,4
1,0,46,2,0,0,17,1,0,0,0
1,0,57,3,0,0,18,0,1,0,0
1,0,36,0,0,0,0,1,0,0,14
1,0,49,3,0,0,17,0,3,0,0
1,0,36,2,0,0,15,1,3,0,4
1,0,23,0,0,0,1,2,0,0,9
1,0,29,3,0,0,18,0,5,0,19
1,0,36,3,0,0,17,1,7,1,4
1,0,56,1,0,0,8,0,3,0,0
1,0,27,1,0,0,10,1,0,0,0
1,0,50,7,0,0,23,0,1,0,0
1,0,37,0,0,0,11,0,0,1,0
1,0,29,0,0,0,11,0,3,0,4
1,0,36,6,0,0,15,0,3,1,0
1,0,55,0,0,0,35,0,5,0,0
1,0,42,1,0,0,6,0,1,1,9
1,0,36,0,0,0,5,2,0,0,0
1,0,47,1,0,0,15,0,5,0,0
1,0,25,0,0,0,5,1,0,0,0
1,0,25,1,0,0,1,0,0,0,4
1,0,33,0,0,0,8,0,0,0,0
1,0,48,0,0,0,10,0,0,0,0
1,0,32,0,0,0,15,0,0,0,4
1,0,44,3,0,0,6,1,0,0,0
1,0,41,2,0,0,23,1,3,1,4
1,0,65,0,0,0,22,0,3,0,0
1,0,45,0,0,0,10,0,0,0,29
1,0,40,1,0,0,6,0,0,0,0
1,0,49,0,0,0,10,0,3,1,0
1,0,43,0,0,0,8,1,0,0,9
1,0,49,3,0,0,10,6,0,2,0
1,0,46,0,0,0,18,0,3,0,14
1,0,36,0,0,0,10,0,1,0,0
1,0,39,1,0,0,17,2,1,1,0
1,0,36,0,0,0,17,0,3,0,0
1,0,64,1,0,0,15,2,0,0,0
1,0,47,0,0,0,5,0,1,1,0
